x,,,
1,,,
2,,,
4,,,
号,,,
缸,,,
渗漏,渗漏,,
渗漏,渗漏,,
发动机,发动机,,
头,,,
回,,,
油管,回油管,,
冷机,冷,,
状态,状态,,
下,,,
试车,试车,,
过程,过程,,
中,,,
工作,工作,,
异常,异常,,
伴有,伴有,,
喘振,喘振,,
现象,现象,,
冷却液,冷却液,,
弯头,弯头,,
处,,,
防护,,,
贴,防护贴,,
裂纹,裂纹,,
地面,地面,,
桨,,,
距,桨距,,
大,大,,
增大,增,,
减,减,,
微减,微,,
无,无,,
飞机,飞机,,
飞行,飞行,,
大增,,,
3,,,
次后,,,
增桨,增,,
无效,无效,,
距减,,,
螺旋桨,螺旋桨,,
调桨,,,
距时,,,
幅度,幅度,,
很小,小,,
不,,,
减不,,,
连续,连续,,
微增,,,
增减,,,
散热器,散热器,,
本体,本体,,
局部,局部,,
空滤,空滤,,
支架,支架,空滤支架,
断裂,断裂,,
排气,排气,,
温度传感器,温度传感器,,
线缆,线缆,,
破裂,破裂,,
启动,启动,,
油路,油路,,
回位,回位,,
拆卸,拆卸,,
汽化器,汽化器,,
时,,,
钢索,钢索,,
易,,,
打弯,弯,,
分叉,分叉,,
机体,机体,,
连接处,连接处,,
右侧,右,,
圆杆,圆杆,,
地检,地检,,
12,,,
V,,,
电源,电源,,
开启,开启,,
后,,,
TCU,TCU,自动变速箱控制器,
故障,故障,,
警告,警告,,
灯,灯,,
黄色,黄色,,
闪烁,闪烁,,
废气,废气,,
活门,废气活门,,
舵机,舵机,,
未,未,,
自检,自检,,
弹簧,弹簧,,
运动,运动,,
燃油,燃油,,
滤,滤口,,
口盖,,,
十字,,,
螺钉,十字螺钉,,
渗油,渗油,,
起动,起动,,
接头,接头,,
二分之一,,,
股断,,,
丝,,,
检查,检查,,
发现,发现,,
焊点,焊点,,
节,,,
风门,节风门,,
推至,推,,
100,,,
转速,转速,,
5700,,,
rpm,rpm,,
排气管,排气管,,
黑烟,黑烟,,
次,,,
放炮,放炮,,
声音,声音,,
一叶,,,
迎风,迎风,,
刀,,,
面前,,,
缘,前缘,,
金属,金属,,
保护,保护,,
薄膜,薄膜,,
疑似,疑似,,
挤压,挤压,,
褶皱,褶皱,,
条,,,
砂眼,,,
更换,更换,,
电机,电机,,
油脂,,,
碳刷,碳刷,,
成,,,
6,,,
碎块,碎块,,
内部,内部,,
螺杆,螺杆,,
固定,固定,,
通电,通电,,
距角,,,
调到,,,
最小值,最小,,
端盖,端盖,,
松动,松动,,
变距,变距,,
角度,角度,,
达,,,
不到,不到,,
标准,标准,,
BGPS,GPS,,
信号灯,信号灯,,
显示,显示,,
红色,红色,,
第一次,,,
GPS,,,
接收机,接收机,,
未能,未,,
正确,正确,,
定位,定位,,
位置,位置,,
第二次,,,
差分,差分,,
稳定,稳定,,
联试,联试,,
上电,上电,,
40,,,
min,,,
信号,信号,,
中断,中断,,
大气,大气,,
数据,数据,,
计算机,计算机,,
气压,气压,,
高度,高度,,
相差,相差,,
10,,,
超高,超高,,
外场,外场,,
试验,试验,,
高度表,高度表,,
测量,测量,,
值,,,
超出,超出,,
误差,误差,,
无线,无线,,
数值,数值,,
陀螺,陀螺,,
俯仰,俯仰,,
方向,方向,,
输出,输出,,
变化,变化,,
角速度,角速度,,
通道,通道,,
速率,速率,,
晃动,晃动,,
滑行,滑行,,
角,,,
测控,测控,,
中报,,,
报故,报故,,
空中,空中,,
报,,,
垂直,垂直,,
时报,,,
飞参,飞参,,
分析,分析,,
输入,输入,,
值为,,,
0,,,
开车,开车,,
超差,超差,,
俯仰角,俯仰角,,
接收,接收,,
卫星,卫星,,
速度慢,速度,,
分钟,分钟,,
收星数,收星,,
少于,少,,
同等条件,同等,,
同型号,型号,,
处理器,处理器,,
口,,,
CCDL,CCDL,交叉通道数据链路,
RAM,RAM,,
NVM,NVM,,
定时器,定时器,,
CPU,CPU,,
起飞,起飞,,
离地,离地,,
惯,,,
导报,惯导,,
一级,一级,,
二级,二级,,
天线,天线,,
导航,导航,,
惯导,惯导,,
开机,开机,,
对准,对准,,
50,,,
秒,秒,,
自动,自动,,
关闭,关闭,,
采用,采用,,
罗经,罗经,,
时间,时间,,
1812,,,
码,码,,
灯亮,亮,,
信息,信息,,
未定义,未定义,,
5,,,
再,,,
785,,,
上,,,
黑白相间,黑白,,
加电约,加电,,
听见,听,,
前,前舱,,
舱内,内,,
发出,发出,,
一声,,,
异响,异响,,
车上,车上,,
115,,,
跳闸,跳闸,,
随后,随后,,
通风口,通风口,,
处有,,,
烟,,,
出,,,
加电后,加电,,
通风,通风盒,,
盒,,,
不转,不转,,
DGPS,DGPS,差分全球定位系统,
主控,,,
车,主控车,,
电台,电台,,
作用,作用,,
距离,距离,,
超过,超过,,
9,,,
km,km,,
接受,接受,,
灵敏度,灵敏度,,
低于,低,,
标称,标称,,
检测,检测,,
上电时,上电,时,
指示,指示,,
灯不亮,灯,不,
数传,数传,,
正常值,正常,,
模式,模式,,
INS,,,
不规则,规则,,
加,,,
改装,,,
鉴定,加改装,鉴定,
试飞,试飞,,
折返,折返,,
约,,,
s,,,
纯,,,
惯性,惯性,,
舵面,舵面,,
左襟,左襟,,
副翼,副翼,,
RVDT1,RVDT,旋转可变差动变压器,
DSP1,DSP,,
HALL1,,,
模型,模型,,
监控,监控,,
欠压,欠压,,
AD,,,
转换,转换,,
右,右,,
机翼,机翼,,
报欠,,,
压,欠压,,
余度,余度,,
DVDT2,,,
DSP2,,,
HALL2,,,
欠,,,
发生,发生,,
方向舵,方向舵,,
卡滞,卡滞,,
飞,,,
控计算机,飞控计算机,,
DIO,,,
离散,离散,,
输入输出,输入,输出,
板,输入输出板,,
二次,二次,,
着陆,着陆,,
断电,断电,,
现场,现场,,
拷贝,拷贝,,
该架机,,,
参数,参数,,
方位,,,
轴,方位轴,,
Z,,,
机务,机务,,
静态,静态,,
完毕,完毕,,
交,,,
经常出现,经常,出现,
自行,自行,,
恢复正常,恢复,正常,
左前,左,前,
机身,机身,,
下方,下放,,
一处,一,,
鼓包,鼓包,,
尾撑,尾撑,,
尾部,尾部,,
托板,托板,,
螺母,螺母,,
对接,对接,,
部位,部位,,
一侧,,,
后缘,后缘,,
衬套,衬套,,
胶,,,
粘性,粘性,,
不强,不强,,
7,,,
框,,,
两,,,
划伤,划伤,,
右主,右,,
起落架,主起落架,,
缓冲,,,
支柱,缓冲支柱,,
外筒,外筒,,
顶部,顶部,,
较大,较大,,
左主,左,,
舱门,,,
拉杆,主舱门拉杆,,
微动,,,
开关,微动开关,,
导致,导致,,
全,,,
压缩,压缩,,
电源模块,电源模块,,
发热,发热,,
