result,index,cut_type,vectorsize,algorithm,paramter,type,k
0.809954751,Accuracy,TF-IDF,1066,SVM,20_10,goal,64
0.897058824,Precision,TF-IDF,1066,SVM,20_10,goal,64
0.779844577,Recall,TF-IDF,1066,SVM,20_10,goal,64
0.806236518,F1-Score,TF-IDF,1066,SVM,20_10,goal,64
0.787330317,Accuracy,TF-IDF,1066,SVM,20_10,control1,63
0.885644769,Precision,TF-IDF,1066,SVM,20_10,control1,63
0.76200565,Recall,TF-IDF,1066,SVM,20_10,control1,63
0.786033559,F1-Score,TF-IDF,1066,SVM,20_10,control1,63
0.814479638,Accuracy,TF-IDF,1066,SVM,20_10,control2,60
0.897243108,Precision,TF-IDF,1066,SVM,20_10,control2,60
0.789081289,Recall,TF-IDF,1066,SVM,20_10,control2,60
0.812892791,F1-Score,TF-IDF,1066,SVM,20_10,control2,60
0.828054299,Accuracy,Word2Vec,100,SVM,20_10,goal,64
0.84839543,Precision,Word2Vec,100,SVM,20_10,goal,64
0.816134048,Recall,Word2Vec,100,SVM,20_10,goal,64
0.826353518,F1-Score,Word2Vec,100,SVM,20_10,goal,64
0.78280543,Accuracy,Word2Vec,100,SVM,20_10,control1,48
0.78670694,Precision,Word2Vec,100,SVM,20_10,control1,48
0.780381454,Recall,Word2Vec,100,SVM,20_10,control1,48
0.780411024,F1-Score,Word2Vec,100,SVM,20_10,control1,48
0.841628959,Accuracy,Word2Vec,100,SVM,20_10,control2,64
0.853285544,Precision,Word2Vec,100,SVM,20_10,control2,64
0.833586626,Recall,Word2Vec,100,SVM,20_10,control2,64
0.840593476,F1-Score,Word2Vec,100,SVM,20_10,control2,64
0.832579186,Accuracy,Word2Vec,200,SVM,20_10,goal,64
0.844615539,Precision,Word2Vec,200,SVM,20_10,goal,64
0.821425053,Recall,Word2Vec,200,SVM,20_10,goal,64
0.828958198,F1-Score,Word2Vec,200,SVM,20_10,goal,64
0.787330317,Accuracy,Word2Vec,200,SVM,20_10,control1,48
0.788186019,Precision,Word2Vec,200,SVM,20_10,control1,48
0.792584227,Recall,Word2Vec,200,SVM,20_10,control1,48
0.786289028,F1-Score,Word2Vec,200,SVM,20_10,control1,48
0.841628959,Accuracy,Word2Vec,200,SVM,20_10,control2,64
0.852489048,Precision,Word2Vec,200,SVM,20_10,control2,64
0.833669298,Recall,Word2Vec,200,SVM,20_10,control2,64
0.840277092,F1-Score,Word2Vec,200,SVM,20_10,control2,64
0.873303167,Accuracy,Word2Vec,300,SVM,20_10,goal,64
0.883091911,Precision,Word2Vec,300,SVM,20_10,goal,64
0.863313351,Recall,Word2Vec,300,SVM,20_10,goal,64
0.871094633,F1-Score,Word2Vec,300,SVM,20_10,goal,64
0.800904977,Accuracy,Word2Vec,300,SVM,20_10,control1,48
