缸盖,缸盖
密封,密封
不严,
回,
油管,回油管
密封,
热,
车,热车
后,
故障,故障
消失,消失
工作,工作
O型,
圈,O型圈
失效,失效
螺旋,
螺旋桨,螺旋桨
无损,
无损伤,
损伤,损伤
螺旋,
螺旋桨,
无损,
无损伤,
损伤,
桨,
距,桨距
电机,桨距电机
烧毁,烧毁
变,
距,变距
机构,变距机构
卡,
滞,卡滞
螺旋,
螺旋桨,螺旋桨
运转,运转
转过,
过程,过程
中,
偶然,偶然
发生,发生
杂物,杂物
碰撞,碰撞
损伤,损伤
变,
距,
机构,
卡,
滞,卡滞
变,
距,
机构,
卡,
滞,
变,
距,
机构,
卡,
滞,
变,
距,
机构,
卡,
滞,
镜检,镜检
检发,
发现,发现
三组,
绕组,
端头,绕组端头
四处,
处断,
断点,断点
断裂,断裂
位置,位置
均,
位于,位于
熔融,熔融
玻璃,熔融玻璃
玻璃封装,玻璃封装
封装,封装
内,熔融玻璃封装
镜检,镜检
检发,
发现,发现
三组,
绕组,
端头,
四处,
处断,
断点,
断裂,
位置,
均,
位于,
熔融,
玻璃,
玻璃封装,
封装,
内,
散热,散热
散热器,散热器
本体,本体
损坏,损坏
散热,散热
散热器,散热器
本体,本体
损坏,损坏
空滤,空滤
支架,空滤支架
断裂,断裂
温度,温度
温度传感器,温度传感器
传感,
传感器,传感器
感器,
线缆,线缆
破裂,破裂
启动,启动
油路,启动油路
钢索,钢索
太粗,
处于,
应力,
腐蚀,
环境,应力腐蚀环境
分解,分解
故障,故障
舵机,舵机
舵机,
角,
位置,
传感,
传感器,角位置传感器
感器,
合金,
电刷,合金电刷
脱落,脱落
电镜,电镜
镜检,镜检
镜检查,
检查,检查
未,
发现,发现
现有,
焊接,焊接
质量,质量
密封,密封
不严,不严
密封,
不严,
起动,
油路,启动油路
钢索,钢索
钢索,
接头,接头
连接,连接
连接处,
断,
丝,断丝
散热,
散热器,散热器
支架,支架
焊点,焊点
处断,
断裂,断裂
查看,查看
检测,
检测车,检测车
数据,数据
空气,
盒,空气盒
压力,压力
高,
空气,
盒,
温度,温度
度过,
高,
查看,查看
TCU,TCU
数据,数据
TCU,
测量,测量
空气,
盒,
压力,压力
异常,异常
防护,
贴,防护贴
开裂,开裂
碳刷,碳刷
断裂,断裂
电机,电机
两侧,
碳刷,
弹簧,弹簧
断裂,
电机,电机
后,
壳,后壳
断裂,断裂
电机,电机
机内,
螺钉,螺钉
钉螺,
螺母,螺母
划伤,划伤
垫片,垫片
缺失,缺失
内部,内部
短路,短路
电机,电机
机内,
内部,内部
螺杆,螺杆
滑,
丝,滑丝
碳刷,碳刷
断裂,断裂
通电,通电
电检,
检查,检查
运行,运行
电阻,电阻
通电,通电
电检,
检查,检查
拆解,拆解
发现,发现
齿轮,齿轮
磨损,磨损
护套,
套环,护套环
松动,松动
驱动,
线缆,驱动线缆
焊点,焊点
断裂,断裂
螺钉,螺钉
松脱,松脱
厂家,厂家
检查,检查
测量,测量
最小,
变,
距,
角度,变距角度
14,
°，,
规程,规程
变,
距,
机构,变距机构
维护,维护
检查,检查
齿轮,齿轮
电机,电机
无异,
异常,异常
现场,现场
通电,通电
故障,故障
消失,消失
第一,
第一次,
通电,通电
故障,故障
第二次,
二次,
通电,
GPS,GPS
接收,
接收机,接收机
机收,
星,收星
颗,
数,
少,
收,
星,
时间,时间
长,
器件,器件
老化,老化
GPS,GPS
接收,
接收机,接收机
机收,
星,收星
颗,
数,
少,
收,
星,
时间,时间
长,
器件,器件
老化,老化
后期,后期
通电,通电
电检,
检查,检查
上,
电,上电
3min,
导航,导航
初始,
初始化,初始化
化开,
始定,
定位,定位
器件,器件
老化,老化
批,
产品,产品
均,
故障,故障
批,
产品,
均,
故障,
批,
产品,
均,
故障,
批,
产品,
均,
故障,
批,
产品,
均,
故障,
批,
产品,
均,
故障,
批,
产品,
均,
故障,
Ps,Ps
Pt,Pt
传感,
传感器,传感器
感器,
故障,故障
Ps,
Pt,
传感,
传感器,
感器,
故障,
Ps,
Pt,
传感,
传感器,
感器,
故障,
Ps,
Pt,
传感,
传感器,
感器,
故障,
返,
厂,
检测,检测
误差,误差
超出,超出
精度,精度
0,
3m,
0,
3m,
高度,
高度表,高度表
故障,
经查,
A,A
通道,通道
航向,
故障,
经查,
C,C
通道,通道
航向,航向陀螺
故障,
经查,
A,
通道,
航向,
故障,
常温,常温
常温状态,
状态,状态
故障,
未,
复现,复现
低温,
状态,
下,
表现,表现
时会,
接通,
上,
电检,
检测,
发现,
俯仰,俯仰陀螺
2,
号,
偏航,偏航
1,
号,
无数,
数据,数据
变化,变化
返,
厂,返厂
检查,检查
通道,通道
性能,性能
合格,合格
陀螺,
电机,陀螺电机
声音,
大,
地面,地面
检测,检测
A,
通道,
横滚,
陀螺,横滚陀螺
故障,
返,
厂,
检查,
A,
通道,
倾斜,倾斜
无,
梯度,梯度
输出,输出
C,
通道,
航向,
陀螺,
同步,
同步器,航向陀螺同步器
输出,
出线,
线圈,输出线圈
缆线,缆线
整形,整形
时,
受损,受损
线路,
线路板,线路板
上,
2N2222,2N2222
三极,
三极管,三极管
损坏,
返,
厂,
复查,复查
合格,合格
常温,常温
常温状态,
状态,状态
故障,
未,
复现,
低温,
状态,
下发,
发现,
线路,
线路板,线路板
不,
延时,延时
2,
号,
垂直,
陀螺,垂直陀螺
俯仰,
超,
差,超差
俯仰,
俯仰角,俯仰角
仰角,
不稳,
稳定,稳定
调整,调整
后,
状况,状况
产品,产品
年代,年代
年代久远,
久远,久远
CPU,CPU
通道,
2,
EPROM,EPROM
器件,器件
失效,失效
抗干扰,
干扰,
天线,抗干扰天线
中,
无,
GLOASS,GLOASS
频,
点,频点
射频,射频天线
天线,
缺少,缺少
环境,环境
环境温度,
温度,温度
高,
A1,A1
A12,A12
板,板
故障,故障
多余,
轴,
锁定,
电路,多余轴锁定电路
故障,
校,
零,
开关,校零开关
故障,故障
间隔,间隔
5,
分钟,
上,
电,
惯,
导,惯导
开机,开机
5,
秒,
后,
报,
二级,
故障,故障
备用,备用
环,
故障,
滤波,
电容,滤波电容
故障,
接线,
接线板,接线板
线板,
故障,
A1,
A12,
板,
故障,
数传,
传电,数传电台
电台,
故障,
数传,
传电,
电台,数传电台
故障,
射频,
线,射频线
受损,
电台,
信号,
电源,
电源线,电源线
线插,
插头,插头
松动,松动
电源,
电源模块,电源模块
模块,
输入,
端,输入端
地线,地线
断开,断开
电台,
天线,电台天线
电缆,
连接,
连接器,电缆连接器
接器,
导线,导线
接触,
簧片,接触簧片
有形,
形变,形变
屏蔽,
套,屏蔽套
线缆,
扎破,扎破
接通,接通
通电,
电源,电源
后,
指示,
指示灯,指示灯
灯不亮,
串口,串口
接入,接入
数据,数据
串口,
设置,设置
电台,
接收,接收
差分,
分信,
信号,差分信号
计算,
计算机,计算机
算机,
连接,
设置,
DGPS,DGPS
接口,接口
程序,程序
错误,
错误判断,
误判,
判断,判断
DGPS,
数据,数据
软件,软件
软件设计,
设计,设计
缺陷,缺陷
左,
副翼,
襟,副翼襟
副翼,
扰,
流片,扰流片
控制,
