编号,序号,所属系统,产品名称,故障部位,深层现象,故障现象,故障分析,处理方式,处理方式标签2,处理方式标签,系统标签
R1,1,动力系统,发动机,缸盖密封圈,缸盖密封不严,1、2、4号缸渗漏滑油,缸盖密封圈密封不严,更换缸盖密封圈,2,更换故障件,4
R2,2,动力系统,发动机,回油管,回油管密封问题,发动机缸头回油管渗漏滑油,回油管密封问题，导致漏油,回油管渗油，更换新缸头,1,更换故障件,4
R3,3,动力系统,发动机,发动机,热车后故障消失工作正常,发动机冷机状态下进行试车，过程中工作异常并伴有喘振现象,冷机状态下，燃油雾化处于临界状态，易产生缺缸燃烧现象，热车后故障消失工作正常，不影响使用,非故障,4,无故障,4
R4,4,动力系统,发动机冷却液回流管,缸头冷却液弯头O型圈,O型圈失效,发动机1号缸缸头冷却液弯头处渗漏,缸头冷却液弯头O型圈失效,更换故障件,2,更换故障件,4
R5,5,动力系统,螺旋桨,防护贴,螺旋桨无损伤,防护贴裂纹,外物打伤,更换故障件,2,更换故障件,4
R6,6,动力系统,螺旋桨,防护贴,螺旋桨无损伤,防护贴裂纹,外物打伤,更换故障件,2,更换故障件,4
R7,7,动力系统,螺旋桨,桨距电机,桨距电机烧毁,地面进行桨距大增大减，微减无反应,桨距电机烧毁,更换故障件,1,更换故障件,4
R8,8,动力系统,螺旋桨,变距机构,变距机构卡滞,飞机在飞行过程中，桨距大增3次后，继续增桨距无效，但桨距减正常,变距机构卡滞,更换故障件,1,更换故障件,4
R9,9,动力系统,螺旋桨,防护贴,螺旋桨运转过程中偶然发生的杂物碰撞损伤,螺旋桨防护贴出现裂纹,螺旋桨运转过程中偶然发生的杂物碰撞损伤,更换故障件,2,更换故障件,4
R10,10,动力系统,螺旋桨,桨距电机,变距机构卡滞,调桨距时，桨距减幅度很小,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R11,11,动力系统,螺旋桨,桨距电机,变距机构卡滞,桨距减工作不正常,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R12,12,动力系统,螺旋桨,桨距电机,变距机构卡滞,大增大减不连续，微增微减无反应,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R13,13,动力系统,螺旋桨,桨距电机,变距机构卡滞,大增大减不连续，微增微减无反应,变距机构卡滞,用热风枪给桨距电机加热后,3,维修(无需更换）,4
R14,14,动力系统,螺旋桨,桨距电机,镜检发现在三组绕组端头附近有四处断点，断裂位置均位于熔融玻璃封装内,飞机在试车过程中无法对桨距进行增减,可能的原因一，交变热应力累积导致电机绕组的铜线断路或虚接；可能的原因二，绕组高速旋转带来离心剪切力造成铜线疲劳，与交变热应力累积造成的铜线强度下降耦合之后，离心力影响加剧铜线断路,更换故障件,2,更换故障件,4
R15,15,动力系统,螺旋桨,桨距电机,镜检发现在三组绕组端头附近有四处断点，断裂位置均位于熔融玻璃封装内,增减桨距无反应,可能的原因一，交变热应力累积导致电机绕组的铜线断路或虚接；可能的原因二，绕组高速旋转带来离心剪切力造成铜线疲劳，与交变热应力累积造成的铜线强度下降耦合之后，离心力影响加剧铜线断路,更换故障件,2,更换故障件,4
R16,16,动力系统,冷却液散热器,冷却液散热器,散热器本体损坏,冷却液散热器本体有渗漏,散热器支架安装应力过大导致散热器本体损坏，渗漏冷却液,更换故障件，改进设计,1,更换故障件，改进设计,4
R17,17,动力系统,冷却液散热器,冷却液散热器,散热器本体损坏,冷却液散热器局部有渗漏,散热器支架安装应力过大导致散热器本体损坏，渗漏冷却液,更换故障件，改进设计,1,更换故障件，改进设计,4
R18,18,动力系统,空滤支架,空滤支架,空滤支架断裂,空滤支架断裂,空滤支架材料强度不够,更换故障件，更改设计,1,更换故障件，改进设计,4
R18,18,动力系统,温度传感器,温度传感器线缆,温度传感器线缆破裂,排气2、4缸头温度传感器线缆破裂,振动摩擦导致磨损,更换故障件，并在传感器易磨损部位添加防磨套,2,更换故障件，改进设计,4
R19,19,动力系统,发动机,启动油路钢索,启动油路钢索太粗,启动油路回位不彻底，拆卸汽化器时启动油路钢索易打弯、分叉,起动油路钢索太粗，摩擦力过大,更换故障件，更改设计,1,更换故障件，改进设计,4
R20,20,动力系统,散热器,散热器支架,处于应力腐蚀环境,散热器支架与发动机机体连接处右侧圆杆断裂,应力腐蚀、过载造成断裂,更换故障件,2,更换故障件,4
R21,21,动力系统,废气活门舵机,废气活门舵机,分解故障舵机，舵机角位置传感器合金电刷脱落，经电镜检查未发现有焊接质量问题,地检12V电源开启后，TCU故障警告灯黄色闪烁，废气活门舵机不工作，未自检，弹簧未运动,舵机角位置传感器合金电刷脱落导致废气活门舵机故障，造成无法检测到信号而卡死,更换故障件,1,更换故障件,4
R22,22,动力系统,燃油油滤口盖,十字螺钉,密封不严,燃油滤口盖处十字螺钉渗油,密封不严,更换故障件，并涂密封胶,2,更换故障件，改进设计,4
R23,23,动力系统,燃油油滤口盖,十字螺钉,密封不严,燃油滤口盖处十字螺钉渗油,密封不严,更换故障件，并涂密封胶,2,更换故障件，改进设计,4
R26,26,动力系统,起动油路,钢索,起动油路钢索与钢索接头连接处有断丝,起动油路钢索与钢索接头连接处有二分之一股断丝,NA,更换故障件,2,更换故障件,4
R27,27,动力系统,散热器,支架,散热器支架焊点处断裂,地面检查发现散热器支架焊点处断裂,NA,更换故障件,2,更换故障件,4
R28,28,动力系统,发动机,空气盒压力传感器,查看检测车数据，空气盒压力过高、空气盒温度过高。查看TCU数据，TCU测量的空气盒压力异常,试车过程中，节风门推至100%时，转速达到5700rpm，排气管冒黑烟，并有2次放炮声音,TCU测量的空气盒压力传感器插头接触不良导致测量数据出现“低指”现象，增压系统调节异常，在较大风门状态下，空气盒压力超限，同时带动空气盒温度超温，在此状态下，发动机产生了爆燃和高油燃烧,更换故障件,1,更换故障件,4
R30,30,动力系统,螺旋桨,前缘防护贴,防护贴开裂,飞行后检查发现，一叶螺旋桨迎风刀面前缘金属保护薄膜出现疑似挤压的褶皱和2条裂纹，存在砂眼,承受较大外力造成防护贴开裂,更换故障件,2,更换故障件,4
R31,31,动力系统,螺旋桨,桨距电机碳刷,碳刷断裂,在更换桨距电机油脂时，检查发现碳刷断裂成6个碎块,碳刷存在个别产品质量问题,更换螺旋桨变距电机,1,更换故障件,4
R32,32,动力系统,螺旋桨,桨距电机碳刷,电机两侧碳刷弹簧断裂，电机后壳断裂,增减桨距无效,碳刷与转子接触不良导致供电断路，导致电机后壳断裂,更换桨距电机,1,更换故障件,4
R34,34,动力系统,螺旋桨,桨距电机螺钉螺母垫片,电机内螺钉螺母有划伤，垫片缺失,桨距电机内部螺杆头不固定,螺钉螺母划伤、垫片缺失导致不固定,更换故障件,2,更换故障件,4
R35,35,动力系统,螺旋桨,桨距电机,内部短路,桨距电机不工作,桨距电机内部短路导致不工作,更换故障件,1,更换故障件,4
R36,36,动力系统,螺旋桨,桨距电机螺杆、碳刷,电机内部螺杆滑丝、碳刷断裂,桨距电机通电不工作,电机内部螺杆滑丝、碳刷断裂导致电机不工作,更换故障件,1,更换故障件,4
R36,36,动力系统,螺旋桨,桨距电机,通电检查运行正常，电阻正常,桨距角无法调到最小值,NA,非故障，按规程进行维护后恢复正常变距范围,4,无故障,4
R36,36,动力系统,螺旋桨,桨距电机齿轮及护套环,通电检查正常，拆解发现齿轮磨损及护套环松动,桨距角无法调到最小值,齿轮磨损及护套环松动导致故障,更换故障件,2,更换故障件,4
